order_id,customer_id,product_id,quantity,order_date
1001,1,101,2,01-06-2026
1002,2,101,1,01-06-2026
1003,3,101,3,02-06-2026
1004,4,101,1,03-06-2026
1005,5,101,2,04-06-2026
1006,6,101,1,05-06-2026
1007,7,102,1,06-06-2026
1008,8,102,2,07-06-2026
1009,9,102,1,08-06-2026
1010,10,103,1,08-06-2026
1011,1,103,1,09-06-2026
1012,2,103,2,10-06-2026
1013,3,103,1,11-06-2026
1014,4,104,3,11-06-2026
1015,5,104,2,12-06-2026
1016,6,104,1,13-06-2026
1017,7,104,2,14-06-2026
1018,8,104,1,15-06-2026
1019,9,105,1,15-06-2026
1020,10,105,1,16-06-2026
1021,1,105,2,16-06-2026
1022,2,106,5,17-06-2026
1023,3,106,3,17-06-2026
1024,4,106,2,18-06-2026
1025,5,106,4,18-06-2026
1026,6,107,1,19-06-2026
1027,7,107,1,19-06-2026
1028,8,108,6,20-06-2026
1029,9,108,5,20-06-2026
1030,10,109,1,21-06-2026
1031,1,109,1,21-06-2026
1032,2,110,1,22-06-2026
1033,3,110,2,22-06-2026
1034,4,110,1,23-06-2026
1035,5,101,2,24-06-2026
1036,6,101,1,24-06-2026
1037,7,108,4,25-06-2026
1038,8,108,3,25-06-2026
1039,9,106,2,26-06-2026
1040,10,104,1,27-06-2026
1041,1,111,2,20-06-2026
1042,2,111,1,21-06-2026
1043,3,109,2,21-06-2026
1044,4,107,1,22-06-2026
1045,5,101,3,22-06-2026
